Real,Imaginary
432,0
-14.2749,-326.562
-144.369,-16.957
-56.7211,86.2351
142.784,57.0489
44.3157,-165.697
-116.897,-60.7397
-84.7384,84.4032
104.085,80.7737
70.1675,-117.442
-92.3886,-84.8544
-103.424,66.9515
69.224,95.3171
81.2045,-79.1844
-76.8327,-92.837
-113.814,69.4071
66.2462,110.116
86.4714,-64.7081
-61.1391,-72.0654
-76.262,54.1767
43.2612,87.5644
95.7292,-34.5837
-37.282,-97.2923
-95.7573,49.0052
57.1043,101.65
117.264,-53.148
-36.4512,-127.31
-121.491,11.8585
-6.72771,113.189
117.248,5.54397
-7.3913,-126.146
-126.619,8.81774
-5,121
115.502,14.0671
10.4412,-107.632
-98.7593,-9.40904
-18.7317,97.8607
103.263,26.9495
29.0677,-103.267
-99.815,-35.2565
-49.2048,106.436
120.755,63.8875
78.68,-125.702
-117.903,-95.3107
-102.529,108.609
100.321,91.5838
77.5127,-89.3342
-84.0229,-77.5944
-82.2462,92.1163
99.0298,76.5428
72.8911,-87.6227
-68.2672,-88.4236
-107.696,60.2783
57.5548,105.476
91.8015,-44.2698
-29.9343,-95.7949
-115.984,33.5605
44.4433,124.596
114.097,-35.585
-10.475,-104.489
-107.584,1.63725
21.6661,113.893
114.259,-43.8418
-36.6573,-111.363
-110,0
-36.6573,111.363
114.259,43.8418
21.6661,-113.893
-107.584,-1.63725
-10.475,104.489
114.097,35.585
44.4433,-124.596
-115.984,-33.5605
-29.9343,95.7949
91.8015,44.2698
57.5548,-105.476
-107.696,-60.2783
-68.2672,88.4236
72.8911,87.6227
99.0298,-76.5428
-82.2462,-92.1163
-84.0229,77.5944
77.5127,89.3342
100.321,-91.5838
-102.529,-108.609
-117.903,95.3107
78.68,125.702
120.755,-63.8875
-49.2048,-106.436
-99.815,35.2565
29.0677,103.267
103.263,-26.9495
-18.7317,-97.8607
-98.7593,9.40904
10.4412,107.632
115.502,-14.0671
-5,-121
-126.619,-8.81774
-7.3913,126.146
117.248,-5.54397
-6.72771,-113.189
-121.491,-11.8585
-36.4512,127.31
117.264,53.148
57.1043,-101.65
-95.7573,-49.0052
-37.282,97.2923
95.7292,34.5837
43.2612,-87.5644
-76.262,-54.1767
-61.1391,72.0654
86.4714,64.7081
66.2462,-110.116
-113.814,-69.4071
-76.8327,92.837
81.2045,79.1844
69.224,-95.3171
-103.424,-66.9515
-92.3886,84.8544
70.1675,117.442
104.085,-80.7737
-84.7384,-84.4032
-116.897,60.7397
44.3157,165.697
142.784,-57.0489
-56.7211,-86.2351
-144.369,16.957
-14.2749,326.562
